Category,Question,Scale
Being yourself and expressing your opinions,Sharing your ideas in a group,Comfort
Being yourself and expressing your opinions,Trying new things,Comfort
Being yourself and expressing your opinions,Doing things on your own,Comfort
Being yourself and expressing your opinions,Being honest about your feelings,Comfort
Social life and support,Meeting new people,Comfort
Social life and support,Helping in your community,Comfort
Social life and support,Getting support from your friends,Comfort
Social life and support,Supporting your friends,Comfort
Personal Skills,Managing your own time,Comfort
Personal Skills,Noticing and solving problems,Comfort
Personal Skills,Thinking about your behaviour and actions (self - reflection),Comfort
Personal Skills,Listening to others,Comfort
Personal Skills,Recognising other peoples feelings,Comfort
Leadership,Being a role model for others,Confidence
Leadership,Dealing with disagreements,Confidence
Leadership,Making decisions,Confidence
Leadership,Being patient,Confidence
Co-op Knowledge,Co-operatives,Knowledge
Co-op Knowledge,Co-operative values,Knowledge
